Answer,Enumeration,Clue,Grid Number
PEPPER,6,Nobleman pinching pennies for Season,127
TIDY,4,"Thanks to nurse, identify orderly",136
TOUT,4,"Plug socket's closer, not in the closet",151
FIRST,5,Primeval trees at centre of plateau,152
DALLIANCE,9,Illicit affair ending in ill-advised wedding,152
SLEEPYHEAD,10,Gambolling sheep delay one who should be counting them?,159
EAGER,5,Gung-ho about Georgia electorate finally flipping,160
OPENANDSHUTCASE,"4-3-4,4",Disguise? A suspect had none!,160
WAISTLINE,9,One belted Spooner's spiked drink,162
TOAD,4,Did drag for audience in jumper,163
LEGO,4,House employs good building material,165
CLOCHE,6,Old hat I replaced with… old hat!,166
INERTIA,7,Property one still possesses?,166
AXLE,4,Bar turned round by plugging beer,167
ACCOLADE,8,Cooler fizzy drink finally received taste award,167
FENCE,5,Cross swords with thief's accomplice,168
REBUT,5,Perhaps poke holes in root vegetable on the counter,169
NONKOSHER,3-6,"Diner keeps working with pork, ultimately breaking food laws",169
CALISTHENIC,11,Section of physical is the nicest sort of exercise,169
TRAINSET,"5,3",Collection of toy vehicles and craft set up on small map in the corner,170
ABOLITIONISM,12,Mobilisation to fight for anti-slavery cause,170
CHEMOTHERAPY,12,"Toothache, Mother? A python's extract provides treatment",170
KIRTLE,6,Gown is topless ladies' garment with hems of lace,171
SPAGBOL,"4,3","Pasta dish using mineral water brought to good simmer, wanting taste of Italy",171
CUSTOMARINESS,13,Traditional state caucus to Marines serving tours,171
TARA,2-2,Jack can barely see you,173
GUNSLINGER,10,Tight rears remain fixture of Western media?,175
LACE,4,Spike fabric with many holes,177
OPTOMETRY,9,Assessing pupils' work on book test,177
GLIB,4,Facile nonsense endlessly brought up,178
MICROGENERATION,15,New form of magnetic iron ore enables small-scale production of electricity,178
RAINS,5,Creationist regularly glossed over what caused the Flood?,179
VINAIGRETTES,12,They dress setter and soldier up after vain changing?,179
STET,4,Keep this concert programme featuring tenor,180
JEJUNE,6,Jubilee at the banks! Thirty days of zero interest,180
